"","Message","Type","Likes","Comments","Reactions","Date","Time"
"18","How can the Government improve soil health? Read the Environmental Audit Committee s report: http://goo.gl/tJzA1C","video",3,0,3,2016-06-02,"11:38"
"19","‘The Department of Health and NHS England must go further to achieve the transformation “from a blame culture to a learning culture” as quickly as possible’","link",2,0,2,2016-06-02,"18:32"
"20","Is UK law effectively protecting domestic pets? The Environment  Food and Rural Affairs Committee is holding an inquiry. Read more: http://goo.gl/rxGKkU","video",3,0,3,2016-06-03,"11:38"
"21","What are the biggest challenges carers face?  Take part in a digital debate on the Carers Week Facebook page and share you experiences of being a carer. This is an opportunity to inform the House of Commons debate taking place on Thursday 9 June https://www.facebook.com/carersweek","photo",2,0,2,2016-06-06,"10:01"
"22","How can the rail passenger experience be improved? Watch the Transport Committee question experts as part of their inquiry into improving the passenger experience: http://goo.gl/upqFAm","photo",0,0,0,2016-06-06,"18:42"
"23","Watch MPs from the Energy and Climate Change Committee question experts on:  - The UK’s progress on developing renewable energy for heat and transport - Barriers to uptake of renewable heating and electric vehicles - Consumer impacts of heat electrification  Watch: goo.gl/6VpjEO","photo",3,0,3,2016-06-07,"11:31"
"24","Shadow Minister for Health  Andrew Gwynne MP  asked an Urgent Question on the NHS England decision to not commission and fund Pre-Exposure Prophylaxis for adults at risk of contracting HIV","link",2,0,2,2016-06-07,"16:07"
"25","As a Committee  we want to get a sense of the genuine and balanced picture at Sports Direct and establish whether there are issues for the wider economy which need further examination  such as the status and rights of agency workers.","link",2,0,2,2016-06-07,"18:23"
"26","MPs from the Communities and Local Government Committee hear from people who have experienced homelessness and academics from Heriot-Watt University.","link",1,0,1,2016-06-08,"18:22"
"27","The Petitions Committee is investigating a petition it received asking the UK Government and Parliament to:  Make it illegal for a company to require women to wear high heels at work.   They want to hear experiences to help them investigate this issue.","link",1,0,1,2016-06-09,"11:32"
"28","The Communities and Local Government Committee is launching an inquiry into the sustainability of adult social care.   Can you contribute to their inquiry?","link",3,0,3,2016-06-13,"11:41"
"29","Stephen Doughty MP asked an Urgent Question on the terrorism threat and security measures in the UK in light of the horrific attacks on the LGBT community in Orlando  USA.","link",5,0,5,2016-06-13,"16:15"
"30","Does the cost of housing in London affect you?  Watch MPs debate the availability of affordable housing in London.","link",5,0,6,2016-06-14,"17:05"
"31","12.6 million adults in the UK lack basic digital skills; 5.8 million people have never used the internet; only 35% of computer teachers in schools have a relevant degree ... this digital skills gap is costing the UK economy £63 billion a year in lost GDP.   - Science and Technology Committee","link",2,0,3,2016-06-15,"11:17"
"32","“This [EU referendum] has been described as the most important decision of a generation and it may well turn out to be...  - Shadow Chancellor  John McDonnell  Watch MPs debate the economic benefits of UK membership of the EU  in the last House of Commons debate before the EU referendum http://goo.gl/YY8lxA","photo",5,1,5,2016-06-15,"18:05"
"33","The Speaker of the House of Commons  the Rt Hon John Bercow MP  has made a statement following the death of Jo Cox  Labour MP for Batley and Spen.  “I am absolutely devastated to learn the news about Jo Cox. Jo was an outstanding Member of Parliament and a wonderful  kind  caring person who was liked and respected in all parts of the House. My thoughts and prayers are with her family at this harrowing time.” http://goo.gl/2yfRNk","link",9,0,11,2016-06-16,"17:13"
"34","We meet today in heart-breaking sadness but also in heart-felt solidarity.   Watch the Speaker of the House of Commons and other MPs pay tribute to their colleague Jo Cox  Labour MP for Batley and Spen.","link",2,0,2,2016-06-20,"14:52"
"35","Watch the Prime Minister  David Cameron  make a statement and answer questions from MPs in the House of Commons following the results of the EU referendum.","link",0,0,0,2016-06-27,"17:01"
"36","As the TalkTalk case shows  the reality is that cyber-attacks are a constant  evolving threat   - Culture  Media and Sport Committee","link",0,0,1,2016-06-28,"12:19"
"37","How much alcohol do you consume a week?  Watch MPs debate the new guidelines on alcohol consumption and how best to provide this information to the public.","link",1,0,1,2016-06-28,"17:21"
"38","Should the hard shoulder become an extra lane on the motorway?   Read the Transport Committee s report.","link",1,0,1,2016-06-30,"11:37"
"39","How much do you remember about what was debated in the House of Commons in June? Take our quiz and test your memory","link",4,0,4,2016-07-04,"16:05"
"40","Watch MPs debate employment for people with disabilities and discuss what employment schemes are being put in place to meet the Government s commitment to  aim to halve the disability employment gap","link",2,0,2,2016-07-05,"12:01"
"41","The Prime Minister  David Cameron made a statement today on the Chilcot Report of the Iraq Inquiry. Watch MPs react to the findings of the report.","link",1,0,1,2016-07-06,"14:00"
"42","Through this inquiry  the Committee aims to understand the implications of the UK’s departure from the EU on the UK’s climate change commitments and ambitions.","link",4,0,4,2016-07-07,"11:27"
"43","With councils under enormous financial pressures and with no legal obligation to fund and maintain public parks  these precious community resources may be at risk.","link",9,0,10,2016-07-11,"18:05"
"44","I am deeply honoured to be standing here in this Chamber as the new member of Parliament for Tooting.   When I think about this Chamber s long and proud history  about the women and men who have sat here before me and all they have achieved  I feel humbled.","link",1,0,1,2016-07-13,"09:39"
"45","The Science and Technology Committee are investigating the factors that need to be taken into account in any EU exit negotiations to safeguard UK science.","link",4,0,4,2016-07-13,"11:44"
"46","At a time when social work is under immense pressure  with social workers facing increasing workloads and local authorities wrestling with tighter funding  it is crucial the Government now makes greater efforts to work closely with the social work profession.","link",5,4,5,2016-07-14,"18:29"
"47","The Committee calls on the Government to set out in its forthcoming Digital Strategy the implications of Britain’s withdrawal from the European Union.","link",4,0,4,2016-07-18,"18:11"
"48","MPs have voted to renew the UK s nuclear weapons programme by 472 votes to 117","link",1,0,1,2016-07-19,"16:10"
"49","Historical cuts to social care funding have now exhausted the opportunities for significant further efficiencies in this area.","link",3,0,3,2016-07-20,"18:28"
"50","The capacity of the homebuilding industry is a key factor in housing supply  which is simply not keeping up with demand and has left us in the midst of a crisis.","link",1,0,1,2016-07-28,"18:07"
"51","How much do you remember about what happened in the House of Commons in July? Take our quiz and test your memory","link",5,0,5,2016-08-01,"17:05"
"52","Are you interested in the Higher Education and Research Bill? Share your thoughts with MPs scrutinising the Bill.","link",4,1,4,2016-08-03,"16:33"
"53","What steps is the Government taking to monitor compliance with the UN Guiding Principles?","link",3,1,3,2016-08-09,"11:36"
"54","This report underlines the positive contributions of Muslims across the UK  and the urgent need to make equality of opportunity a reality for people of every faith and background.   - Maria Miller MP","link",4,0,4,2016-08-11,"20:06"
"55","Did you know that 30 Bills became law in the 2015-16 Parliamentary session?","link",11,1,11,2016-08-16,"15:55"
"56","Did you know MPs spent 125 hours debating Opposition Day motions in 2015-16? Read the 2015-2016 sessional return for more information.","link",8,1,8,2016-08-18,"15:50"
"57","There is a House of Commons Select Committee for each government department. These committees can scrutinise spending  administration and policy.","video",16,0,16,2016-08-22,"15:55"
"58","Do you know which Parliamentarians have won a gold medal? As Team GB returns from Rio 2016  find out how much you know about Parliament s shared history with the Olympic Games.","link",11,3,12,2016-08-23,"15:55"
"59","MPs will be debating the Finance Bill when the House of Commons returns from summer recess on Monday 5 September. Watch this short video to find out about the Budget and how the Finance Bill puts the Budget proposals into law.","video",11,0,12,2016-08-30,"15:55"
"60","Thousands of expectant and new mothers have no choice but to leave their work because of concerns about the safety of their child or pregnancy discrimination. Shockingly this figure has almost doubled in the last decade  now standing at 54 000.   - Maria Miller MP  Chair of the Women and Equalities Committee","link",7,1,8,2016-08-31,"20:34"
"61","We need 9% of all new cars to be ultra-low emission vehicles by 2020 if we re going to meet our climate change targets at the lowest cost to the public.   - Mary Creagh MP","link",4,1,4,2016-09-01,"13:46"
"62","The House of Commons returned today from summer recess to discuss the Finance Bill. How much do you know about Bills and legislation? Take our quiz and test your knowledge.","link",13,2,13,2016-09-05,"17:09"
"63","Watch live from 9:45am as the Justice Committee question Elizabeth Truss MP on her approach to prison reform  human rights and the impact of Brexit on the justice system in England and Wales.","link",6,1,6,2016-09-07,"08:34"
"64","UK House of Commons shared UK Parliament s post.","link",6,1,7,2016-09-08,"11:08"
"65","Have you or someone you know been affected by scamming?  Today MPs debated scamming and its effect on vulnerable individuals. Scams come in many forms  and through different channels  but scams involving false investment opportunities are one of the commonest and some of the most devastating when they involve the life savings of elderly individuals.   Research conducted in April 2015 by Age UK suggested that 53 per cent of people aged 65+ believed they have been targeted by fraudsters.  Watch what MPs had to say about the issue.","link",6,1,7,2016-09-08,"17:05"
"66","How much do you know about the campaign for votes for women and how they influenced changes to the law? Take our quiz and find out.","link",8,1,8,2016-09-12,"17:05"
"67","Chair of the Committee  Maria Miller MP said:   Our inquiry has revealed a concerning picture. We have heard girls talk about sexual bullying and abuse as an expected part of their everyday life; with teachers accepting sexual harassment as  just banter ; and parents struggling to know how they can best support their children.  It is difficult to explain why any school would allow girls to be subjected to sexual harassment and violent behaviour that has been outlawed in the adult workplace. The evidence shows it is undermining the confidence of young women. Failing to reinforce what is acceptable behaviour could well be fuelling the  Lad Culture  that the Government has already identified as a problem in colleges and universities.   Despite this  the Department for Education and OFSTED have no coherent plan to ensure schools tackle the causes and consequences of sexual harassment and sexual violence. There are some examples of excellent work being done by schools and third sector organisations to prevent sexual harassment and sexual violence. But too many schools are failing to recognise this as a problem and therefore failing to act.  The Government must take a lead and make it clear that sexual harassment in schools is completely unacceptable and support schools  teachers  parents and young people to tackle this widespread problem. Our report sets out clear recommendations for how this can be achieved and we hope that the Government will implement them immediately.","link",8,0,8,2016-09-13,"09:07"
"68","The Committee says it is  beyond belief  that 30 years after FGM was made illegal in the UK there has been not one successful prosecution: a  lamentable record  that will deter those brave enough to come forward to report and address this violent crime.  The Committee says that the ongoing failure to bring a successful prosecution for FGM is a  national scandal that is continuing to result in the preventable mutilation of thousands of girls .","link",3,3,3,2016-09-15,"11:50"
"69","5% of premises in the UK do not have access to superfast broadband  which the Government has stated is an essential service for households and businesses.   To deliver this  the Digital Economy Bill includes a ‘Universal Broadband Obligation’  which entitles consumers to a minimum broadband speed  as well as introducing age verification for online pornography with penalties for non-compliance.   If you have relevant expertise and experience or an interest in the Digital Economy Bill you can write to the Committee considering the Bill and submit your views.","link",4,2,5,2016-09-16,"11:30"
"70","How much do you know about famous speeches in Parliament and who gave them? Take our quiz and find out.","link",9,3,10,2016-09-20,"16:54"
"71","Damian Collins MP  acting Chair of the Committee  said:   The process of leaving the European Union is one of the greatest challenges that the United Kingdom faces today. The creative industries and tourism are two of the most important sectors in our economy  and we have to make sure that Brexit can become a success for them.  For this inquiry  we want to examine all of the challenges and opportunities that Brexit could bring. We have set out some of the specific issues that we will be focusing on  but we want to hear from people and organisations in the creative and tourism sectors on any concerns or ideas they may have relating to Brexit.","link",6,7,6,2016-09-21,"11:36"
"72","How much do you know about the history of women in Parliament? Try our quiz to find out.","link",9,1,9,2016-09-27,"16:00"
"73","A Bill is a proposal for a new law  or a proposal to change an existing law. Find out more about the different types of Bill that pass through Parliament in our short video.","video",20,2,21,2016-09-29,"15:18"
"74","How much do you remember about what happened in the House of Commons in September? Take our quiz and test your memory","link",11,0,11,2016-10-03,"17:10"
"75","MPs debated the Second Reading of the Neighbourhood Planning Bill in the House of Commons on 10 October 2016. The Second Reading debate gives MPs an opportunity to consider the broad principle of the Bill.   The Government’s two “key aims” of the Neighbourhood Planning Bill are to:  1) Help identify and free up more land to build homes on  giving communities as much certainty as possible about where and when development will take place.  2) Speed up the delivery of new homes by reducing the time it takes from the granting of planning permission to the completion of new homes.","link",6,1,6,2016-10-11,"11:15"
"76","“As one looks back  Mr Speaker  at the Syrian Crisis over recent years  at every turn  progress towards a solution has alas eluded us.” -Andrew Mitchell  MP for Sutton Coldfield  An emergency debate was granted for MPs to discuss the humanitarian catastrophe in Aleppo and Syria on Tuesday 11 October. Watch what was said in the House of Commons Chamber.","link",2,4,2,2016-10-11,"15:16"
"77","“The decisions that are going to be taken by the Government over the next few months and years in relation to exiting the EU are going to have a profound implication for the future of this country  for its economy  for its people and for its place in the world… Today’s debate is about the proper role of Parliament  of this House in particular  throughout that process. It’s about scrutiny and it’s about accountability.”  - Keir Starmer  Shadow Secretary of State for Exiting the European Union  MPs debated an Opposition Motion on Parliamentary scrutiny of the UK leaving the EU. Watch the debate on Parliament TV.","link",15,3,17,2016-10-12,"16:14"
"78","Is the Government meeting its Sustainable Development Goals? The Environmental Audit Select Committee wants to know how well the Government is implementing the UN s 17 global goals. These include eliminating poverty  providing affordable and clean energy and achieving gender equality. Learn more and contribute to their inquiry: https://goo.gl/X0wBQL","video",6,2,6,2016-10-14,"07:00"
"79","The UK Parliament has teamed up with FutureLearn  a social learning platform  to develop its first course “Introduction to the UK Parliament: people  processes and public participation”.   The course will provide an open and accessible opportunity for members of the public to learn more about Parliament and how it is essential to democracy. This three week introductory course is free to join and is designed to increase public engagement and understanding of the work and role of the Parliament. The course is open for registration and will launch on Monday 14 November 2016.","link",37,2,38,2016-10-14,"11:05"
"80","Due to recent changes in Government departments  Select Committees are changing to ensure they are held to account.  The Exiting the EU Committee has been set up to scrutinise the new Department for Exiting the European Union and issues around #Brexit.   Find out more about their work: http://www.parliament.uk/exeucom","link",11,1,11,2016-10-17,"06:54"
"81","Due to recent changes in Government departments  Select Committees are changing to ensure they are held to account.  The International Trade Committee has been set up to scrutinise the new Department for International Trade.   Find out more about their work: http://www.parliament.uk/tradecom","link",3,1,4,2016-10-17,"11:15"
"82","The Health Committee questions the Secretary of State for Health and NHS Chief Executives as part of their inquiry on the current state of NHS finances.","link",2,1,2,2016-10-18,"13:02"
"83","Who challenges the Government s Energy and Climate Change policies?   The Business  Energy and Industrial Strategy Committee is committed to holding the Government to account and investigating new sources of cheap and renewable energy  the effects of climate change  and how a low-carbon industrial strategy can be developed. Find out more about the Committee: https://goo.gl/98bNwI","video",5,1,5,2016-10-19,"11:49"
"84","UK House of Commons shared Arthritis Research UK s event.","event",0,0,0,2016-10-19,"14:58"
"85","Some of the evidence submitted to the Communities and Local Government Select Committee in their inquiry into the future of public parks.","photo",3,1,3,2016-10-20,"11:50"
"86","MPs voted against the SNP Opposition Motion on the rights of EU nationals  on 19 October 2016.  Opposition days are days allocated in the House of Commons for the discussion of subjects chosen by the Opposition parties.  Seventeen days are at the disposal of the Leader of the Opposition  the leader of the largest opposition party  to decide which matters are debated. Three days are usually divided between the other opposition parties.  The Opposition generally use them to raise questions of policy and administration. Frequently  two separate subjects are debated on an Opposition day.","link",3,5,5,2016-10-20,"16:00"
"87","The Civil Service employs nearly half a million people  and helps enact the Government s plans and policies. How can such a large organisation adapt for changing times? Does it need reform? Watch Bernard Jenkin MP  Chair of the Public Administration and Constitutional Affairs Committee  explain why they re carrying out an inquiry into the Civil Service  and contribute your views: https://goo.gl/3tjFyl","video",5,1,5,2016-10-21,"13:00"
"88","How can we stop another BHS type pensions crisis from happening? Watch former pensions minister Ros Altmann speak to the Work and Pensions Select Committee on how a business with half a billion pounds worth of pensions debt can be considered debt free. Find out more about the Committee s work on pension protection: https://goo.gl/Crhrqw","video",5,1,5,2016-10-24,"11:00"
"89","Watch the International Development Committee question development experts:","link",2,5,2,2016-10-25,"17:57"
"90","Did you know that Parliament scrutinises the work of government? Test your knowledge in our quiz","link",9,2,9,2016-10-26,"16:34"
"91","In 2014  the Home Office estimated that there were between 10 000 and 13 000 potential victims of modern slavery. What is the impact on these victims when they can t access support and benefits? The Work and Pensions Select Committee has launched an inquiry into modern slavery  to work out how to best support victims  and what the cost of this to the state might be. Find out more and contribute your views: https://goo.gl/1Ooqx8","link",1,2,1,2016-10-31,"12:30"
"92","Home Office Minister Brandon Lewis explains why the Government has made a decision not to proceed with an inquiry into events at Orgreave in June 1984  in response to questions from Andy Burnham and other MPs.  Watch the full video https://goo.gl/MJ1opY","video",8,2,8,2016-11-01,"16:54"
"93","The Liaison Committee is questioning Sir John Chilcot on the Iraq War inquiry this afternoon.  Watch the full session live: https://goo.gl/thRzpW","link",3,1,3,2016-11-02,"14:08"
"94","“I am honoured to have the opportunity to do my bit and give a voice to my constituents through this Parliament of ours. That day will stay with everyone in Batley and Spen for the rest of our lives  but Batley and Spen will not be defined by the one person who took from us  but by the many who give.”  - Tracy Brabin  MP for Batley and Spen  Tracy Brabin gave her maiden speech to the House of Commons on Wednesday 2 November. Watch the full speech on Parliament TV.","link",6,1,6,2016-11-03,"13:27"
"95","Accident and emergency departments across England are managing huge levels of demand. This demand increases in winter. How will the NHS cope?","link",9,2,9,2016-11-03,"16:00"
"96","The UK s justice system doesn t understand the needs of Young Adults in custody. The risks and needs of 18-25 year olds aren t properly understood  and the Justice Select Committee has called on the Government to change its policies. Read the report: https://goo.gl/tCpon3","photo",7,2,7,2016-11-04,"12:27"
"97","Economic Secretary  Simon Kirby  explains Government policy regarding outsourcing  tax credits and Concentrix  in response to questions from Louise Haigh and other MPs. Watch the full video: https://goo.gl/5mZgV2","video",8,3,8,2016-11-04,"15:22"
"98","Is it fair that working age families are supporting a growing population of better-off pensioners? The Work and Pensions Select Committee has released a new report that finds a skewed economy is leaving younger generations worse off. 28% of children are now living in poverty  compared to 14% of pensioners. Measures to re-balance the economy like scrapping the pensions triple lock could help. Read about the report here: https://goo.gl/QzLLKh","link",6,6,6,2016-11-07,"12:56"
"99","Minister of State for the Foreign and Commonwealth Office Alan Duncan answers questions from MPs in response to an Urgent Question from Sarah Champion about a UN expert for the LGBT community.  View full video https://goo.gl/l13WUu","video",11,2,11,2016-11-08,"16:18"
"100","How much do you remember about what happened in the House of Commons in October? Take our quiz and test your memory","link",7,2,7,2016-11-09,"14:46"
"101","How should homophobia in sport be tackled? Watch the Culture  Media and Sport Committee question sports people on their experiences of homophobia in sport.","link",3,2,3,2016-11-10,"13:12"
"102","Do you have a question about the work of the Justice Select Committee? Chair Bob Neill MP will be answering your questions online from 10.30am.  Post your questions below  and come back on Wednesday to chat with Bob.   This parliament the Committee has published reports on topics such as Young Adults in the Criminal Justice System and Courts and Tribunal Fees and is currently holding inquiries into the Implications of Brexit and Prison Reform.  As part of #UKPW16  the Committee wants to hear from you on its work and future inquiries.  This live Q&A will offer a chance for Bob to interact with anyone who already follows the Committee or simply wants to learn more about how it challenges the Government.   #AskJustice  Any comments or questions submitted will be moderated according to Parliament s online discussion rules - http://www.parliament.uk/get-involved/have-your-say/online-discussion-rules/","event",3,2,3,2016-11-11,"11:20"
"103","The UK pet population is estimated at nine million dogs and approximately eight million cats. The Animal Welfare Act places a legal obligation on owners and keepers of animals to care for them properly. Is this Act still fit for purpose? The Environment  Food and Rural Affairs Committee is publishing a report on animal welfare on 16 November. Find out more on their website: https://goo.gl/LnMN1","video",7,3,7,2016-11-11,"13:00"
"104","Share your experiences and thoughts on free childcare for working parents and inform the debate.   On Monday 21 November at 4.30pm  MPs will debate e-petition 132140 on free childcare for working parents. The Petitions Committee invite you to share your comments with them and inform the debate. Your comments will be shared with MPs taking part in the debate.   On Tuesday 15 November from 4 to 5pm  Helen Jones MP  Chair of the Petitions Committee will be joining the discussion and responding to your comments.   Post your comments now.","event",31,119,32,2016-11-11,"14:30"
"105","Watch Damian Collins MP question Chris Edmonds from Ticketmaster about ticket reselling as part of the Culture  Media and Sport Committee s inquiry into ticket touting.","video",6,1,6,2016-11-15,"18:13"
"106","In half an hour Bob Neill MP  Chair of the Justice Committee  will be here answering your questions about the work of the Justice Committee. Join us live.","event",1,0,1,2016-11-16,"10:01"
"107","Are our pets sufficiently protected under the law? The Environment  Food and Rural Affairs Committee has published a report on animal welfare. Read it here: goo.gl/mldgM7","link",6,3,7,2016-11-16,"17:16"
"108","How do you think the UK should implement the UN Sustainable Development Goals? MPs on the Environmental Audit Committee want to hear your views.  As part of their inquiry into Sustainable Development Goals in the UK  the Committee is looking to gather fresh ideas on issues from ending poverty and achieving gender equality to tackling climate change and using resources sustainably.   If you re aged 16-25 and interested in sustainability  come and chat to MPs next week. Come along to Impact Hub in Birmingham on Thursday 24 November  17.30 - 19.30.   Book free tickets here: https://goo.gl/TcOmrl","link",9,2,10,2016-11-18,"10:30"
"109","How effective is current legislation and law enforcement in preventing and prosecuting hate crime? What role do social media companies and other online platforms play in helping to identify online sources of hate crime? The Home Affairs Committee are examining these issues in a new inquiry into hate crime. Find out more on their website: goo.gl/wVB5iZ","photo",14,5,14,2016-11-21,"12:46"
"110","The Joint Committee on Human Rights is currently holding an inquiry into the responsibilities of business in upholding human rights  hearing evidence from a range of witnesses. Last week  they heard from Andrew Silvester from the Institute of Directors  who told the Committee about the importance of human rights in the business world.   Watch the full session here: https://goo.gl/6C7pWc Find out more about the inquiry here: https://goo.gl/Qp6H9g","video",7,1,7,2016-11-22,"14:16"
"111","Today the Autumn Statement is taking place where Chancellor  Philip Hammond  will update MPs on the Government’s plans for the economy based on the latest forecasts from the independent Office for Budget Responsibility (OBR).   Parliament looks closely at the Government s tax and spending plans and tries to make sure that public money is being spent fairly and efficiently. But how is financial scrutiny done in practice by Parliament?","video",61,12,67,2016-11-23,"11:01"
"112","Should the deceitful wearing of decorations and medals by  military imposters  be criminalised? The Defence Committee have published a report examining military imposters. Find out more and read the report on their website: https://goo.gl/Un07Zx","link",13,3,14,2016-11-23,"12:30"
"113","The Home Affairs Committee has published a report into the Independent Inquiry into Child Sexual Abuse. It states that the work of the Inquiry is vital but that confidence in the Inquiry s ability to deliver its objectives has been seriously diminished by problems it has encountered. Read the full report on the Committee s website: https://goo.gl/i2fgMn","link",8,6,9,2016-11-25,"12:45"
"114","Although 60% of all journeys on public transport are made by bus  passenger numbers are in long-term decline. The Bus Services Bill proposes major reforms to the way services could be delivered in England  outside London. The Transport Committee have published a report on this Bill  including recommendations to transform passengers  experience. Find out more information and read the report on the Committees  website: https://goo.gl/bzuzyV","link",5,4,5,2016-11-25,"17:35"
"115","Do young people face greater challenges to find employment than previous generations? As part of its inquiry into employment opportunities for young people  the Work and Pensions Committee heard from Samantha Kerr from Prince s Trust on her experiences of trying to find work using Jobcentre Plus. Watch the rest of the session: https://goo.gl/ULQm91","video",16,4,17,2016-11-28,"15:00"
"116","In the UK  approximately 8 million tonnes of food is wasted annually. The Environment  Food and Rural Affairs Committee has been examining this issue  hearing from Hugh Fearnley-Whittingstall and Tristram Stuart earlier this month. Watch Hugh Fearnley-Whittingstall explain why food waste is an issue.  Find out more about the inquiry here: goo.gl/QczvED Watch the full session here: goo.gl/nPJ775","video",18,3,18,2016-11-29,"12:56"
"117","Secretary of State for DCMS  Karen Bradley  responds to questions from Dr Rosena Allin-Khan and other MPs about victims of historical sexual abuse in football. View the full video https://goo.gl/evzjAf","video",9,5,10,2016-11-29,"17:37"
"118","How much do you know about the Autumn Statement and what do you remember from the one delivered last week?  Take our quiz and test your knowledge.","link",15,3,15,2016-11-29,"18:30"
"119","Robert Courts  MP for Witney  made his maiden speech in the House of Commons on Wednesday 30 November during the Opposition Day debate on the Chilcot Inquiry.","video",6,2,6,2016-11-30,"15:38"
"120","How will Brexit affect the land border between the UK and the Republic of Ireland? Will the Common Travel Area arrangements be maintained? Could Northern Ireland have a special status within a post-Brexit UK? The Northern Ireland Affairs Committee wants to hear your views https://goo.gl/CmiORm #Brexit","video",12,4,13,2016-11-30,"16:08"
"121","Department for International Development Minister James Wharton responds to questions from Stephen Doughty and others on the Department s Bilateral and Multilateral Aid Reviews. View the full video https://goo.gl/s1sLht","video",4,5,4,2016-12-02,"11:37"
"122","Today is the International Day of People with a Disability. The Women and Equalities Committee is holding an inquiry into the accessibility of our homes  buildings and public spaces.  This is an issue for all of us.   Find out more here: https://goo.gl/W5zsHb  #DisabilityDay #IDPWD #DisabilityInquiry","link",26,3,26,2016-12-03,"09:00"
"123","Transport Minister  Paul Maynard MP  responds to an Urgent Question from Caroline Lucas on Southern Rail services. View the full video https://goo.gl/qvf3iO","video",3,5,3,2016-12-05,"16:19"
"124","The Secretary of State for Transport explains Government s plans for train operating companies to take responsibility for track and infrastructure from Network Rail  in response to questions from MPs. Watch the full video https://goo.gl/uc15Yp.","video",4,2,4,2016-12-06,"15:50"
"125","The Secretary of State for Communities and Local Government  Sajid Javid  explains the Government s initial reaction to the recommendations in the Casey Report  in response to questions from MPs. Watch the full video https://goo.gl/Fae0QK","video",4,2,4,2016-12-06,"15:59"
"126","How much do you remember about what happened in the House of Commons in November? Take our quiz and test your memory","link",6,2,6,2016-12-06,"18:00"
"127","This afternoon  MPs are debating Brexit  with calls for the Government s plan to be published before Article 50 is invoked.","link",6,3,7,2016-12-07,"14:48"
"128","A by-election is taking place today in the Sleaford and North Hykeham constituency.  Find out how Members of Parliament are elected to the House of Commons in general elections and by-elections.","video",11,3,11,2016-12-08,"11:19"
